freq;N2;tx_site;N4;N5;programme;country;N6;N7;N8;N9;closed;N10;N11;N12;N13;station;N14;N15;N16
2691.000;;Algiers;16;;;ALG;;u;;;;;03e03/36n46;;;7TA Alger Radio;;;
2719.000;;Oran;31;;;ALG;;u;;;;;00w39/35n41;;;7TO Oran Radio;;;
2775.000;;Algiers;16;;;ALG;;u;;;;;03e03/36n46;;;7TA Alger Radio;;;
5652.000;;Algiers;16;;;ALG;;u;;;;;03e12/36n42;;;Alger Aero;;;
6300.000;c;Rabouni (Tindouf);37;xx;;ALG;;;20.000;;;;08w06/27n33;;;ex Saharawi Arab Dem.Rep.Nat. Radio;;;
7245.000;c;Bouchaoui (SW);2;;;ALG;;;50.000;;;;02e56/36n44;;;ex RTA Algier;;;
8423.500;c;Boufarik Radio;;;7TK25;ALG;;b;;;;;;;;7TK25;;;
8894.000;;Alger Radio;16;;ALGIERS;ALG;;b;;;;;03e07/36n44;;;ALGIERS;;;
8894.000;;Algiers;16;;Alger Aero;ALG;;u;;;;;03e12/36n42;;;Alger Aero;;;
11715.000;c;Bouchaoui (SW);2;;;ALG;;;100.000;;;;02e56/36n44;;;ex RTA Algier;;;
11750.000;c;Bouchaoui (SW);2;;;ALG;;;50.000;;;;02e56/36n44;;;ex RTA Algier;;;
15160.000;c;Bouchaoui (SW);2;;;ALG;;;100.000;;;;02e56/36n44;;;ex RTA Algier;;;
270.000;c;Wejh;tbk;;WE;ARS;;b;;;;;36e32/26n09;;;INACTIVE;;;
320.000;;Jeddah;;;DGPS#001;ARS;;b;;;;;;;;"DGPS; Ref ID: 760 / 761; 200bps";;;
340.000;;Muzayrah;mdh;;MUZ;ARS;;b;;;;;41e27/23n31;;;;;;
370.000;c;Pump Station ?;;;PS51;ARS;;b;;;;;;;;;;;
436.000;;Jeddah;mkh;;HZH;ARS;;b;;;;;39e12/21n24;;;COASTAL STATION;;;
436.000;;Jeddah;mkh;;HZH Jeddah Radio;ARS;;c;;;;;39e09/21n21;;;;;;
440.000;;Ras Tannurah;shy;;HZY Ras Tannurah Radio;ARS;;c;;;;;50e06/26n42;;;HZY;;;
445.300;;Jeddah;mkh;;HZH Jeddah Radio;ARS;;c;;;;;39e09/21n21;;;;;;
446.000;;Jeddah;mkh;;HZH Jeddah Radio;ARS;;c;;;;;39e09/21n21;;;;;;
448.000;;Jeddah;mkh;;HZH Jeddah Radio;ARS;;c;;;;;39e09/21n21;;;;;;
448.000;;Ras Tannurah;shy;;HZY Ras Tannurah Radio;ARS;;c;;;;;50e06/26n42;;;HZY;;;
490.000;;Jeddah;;;$09O;ARS;;b;;;;;;;;BCST @ 0220, 0620, 1020, 1420, 1820;;;
518.000;;Dammam;shy;;HZG;ARS;;r;;;;;50e06/26n26;;;NAVTEX Area 9 ID G;;;
518.000;c;Dammam;shy;;$09G;ARS;;b;;;;;50e07/26n26;;;"BCST @ 0005, 0605, 1205, 1805 UTC;";;;
518.000;;Jeddah;mkh;;HZH Jeddah Radio;ARS;;r;;;;;39e09/21n21;;;NAVTEX Area 9 ID H;;;
522.000;;Ras Tannurah;shy;;HZY Ras Tannurah Radio;ARS;;c;;;;;50e06/26n42;;;HZY;;;
531.000;;Bisha=Qal'at Bishah;asr;ar;SBA Al-Quran al-Karim;ARS;;;10.000;;;;42e37/19n50;;;;;;
549.000;;Qurayyat;jwf;ar;SBA Radio Riyadh;ARS;;;2000.000;D;;;37e23/31n26;;;General program, running on lower p;;;
549.000;;Rafha/Al-Jumaimah;hsh;ar;SBA Radio Riyadh;ARS;;;20.000;;;;43e36/29n35;;;General program;;;
549.000;;Ar Rass;qsm;ar;SBA Radio Riyadh;ARS;;;10.000;;;;43e32/25n52;;;General program;;;
549.000;;Jizan=Gizan;jzn;ar;SBA Radio Al-Azm;ARS;;;1.000;;;;42e34/16n52;;;Radio Determination, (ex) Radio Riyad;;;
558.000;;Abha;asr;ar;SBA Al-Quran al-Karim;ARS;;;5.000;;;;42e36/18n17;;;SBA Al-Quran al-Karim;;;
567.000;;Jeddah/Bahrah;mkh;ar;SBA Al-Quran al-Karim;ARS;;;200.000;;;;39e25/21n23;;;SBA Al-Quran al-Karim;;;
567.000;;Afif;riy;ar;SBA Al-Quran al-Karim;ARS;;;15.000;;;;42e54/23n52;;;SBA Al-Quran al-Karim;;;
576.000;;Jizan=Gizan;jzn;ar;SBA Al-Quran al-Karim;ARS;;;20.000;;;;42e34/16n52;;;SBA Al-Quran al-Karim;;;
585.000;;Ar-Riyad;riy;ar;SBA Radio Riyadh;ARS;;;1200.000;D;;;46e53/24n50;;;General programme;;;
594.000;;Duba;tbk;ar;SBA Radio Riyadh;ARS;;;2000.000;D;;;35e35/27n27;;;General program;;;
594.000;;Makkah;mkh;;SBA Idha'at ul-Nedaa al-Islam;ARS;;;50.000;;;;39e41/21n22;;;Call of Islam;;;
594.000;;Al-Hofuf=Al-Hufuf;shy;ar;SBA Radio Riyadh;ARS;;;10.000;;;;49e35/25n16;;;General program;;;
612.000;;Al-Aflaj/Layla;riy;ar;SBA Radio Riyadh;ARS;;;15.000;;;;46e42/22n17;;;General program;;;
612.000;;Ha'il;hal;ar;SBA Radio Jeddah;ARS;;;5.000;D;;;41e44/27n28;;;2nd program;;;
630.000;;Jizan=Gizan;jzn;ar;SBA Radio Jeddah;ARS;;;20.000;;;;42e34/16n52;;;2nd program;;;
630.000;;Najran;njn;ar;SBA Al-Quran al-Karim;ARS;;;10.000;;;;44e04/17n35;;;;;;
648.000;;Jeddah/Sumaymah;mkh;ar;SBA Radio Riyadh;ARS;;;1000.000;D;;;39e10/21n14;;;General programme, max 2000 kW;;;
657.000;;Rafha/Al-Jumaimah;hsh;ar;SBA Al-Quran al-Karim;ARS;;;20.000;;;;43e36/29n35;;;;;;
675.000;;Afif;riy;ar;SBA Radio Riyadh;ARS;;;20.000;;;;42e54/23n52;;;General program;;;
675.000;;Abha;asr;ar;SBA Radio Riyadh;ARS;;;5.000;;;;42e36/18n17;;;General program;;;
684.000;;Jeddah/Bahrah;mkh;ar;SBA Radio Jeddah;ARS;;;200.000;;;;39e25/21n23;;;2nd program;;;
684.000;;Ar-Riyad;riy;ar;SBA Radio Jeddah;ARS;;;10.000;;;;46e52/24n49;;;2nd program;;;
693.000;c;Tabuk;tbk;ar;;ARS;;;20.000;;;;36e31/28n25;;;ex SBA Al-Quran al-Karim;;;
702.000;;Duba;tbk;ar;SBA Radio Jeddah;ARS;;;100.000;;;;35e36/27n26;;;2nd program;;;
702.000;;Bisha=Qal'at Bishah;asr;ar;SBA Radio Jeddah;ARS;;;10.000;;;;42e37/19n50;;;2nd program;;;
747.000;;Buraydah;qsm;ar;SBA Radio Jeddah;ARS;;;10.000;;;;44e00/26n20;;;2nd program;;;
747.000;;Najran;njn;ar;SBA Radio Al-Azm;ARS;;;10.000;;;;44e04/17n35;;;Radio Determination, ex Radio Riyad;;;
765.000;;Al-Aflaj/Layla;riy;ar;SBA Al-Quran al-Karim;ARS;;;20.000;;;;46e42/22n17;;;;;;
765.000;;Qurayyat;jwf;ar;SBA Al-Quran al-Karim;ARS;;;20.000;;;;37e23/31n25;;;;;;
765.000;;Al-Hofuf=Al-Hufuf;shy;ar;SBA Al-Quran al-Karim;ARS;;;10.000;;;;49e35/25n16;;;;;;
783.000;;Ras al-Khair (Ras al-Zawr);shy;ar;SBA Idha'at ul-Nedaa al-Islam;ARS;;;100.000;;;;49e18/27n28;208;;Call of Islam;;;
792.000;;Jeddah/Al-Nuzlah;mkh;;SBA Al-Quran al-Karim;ARS;;;50.000;;;;39e12/21n28;115;;;;;
810.000;;Hafar al-Batin;shy;ar;SBA Al-Quran al-Karim;ARS;;;50.000;;;;46e04/28n26;;;;;;
810.000;;Abha;asr;ar;SBA Al-Quran al-Karim;ARS;;;20.000;;;;42e36/18n17;;;ex Radio Jeddah;;;
846.000;;Buraydah;qsm;ar;SBA Al-Quran al-Karim;ARS;;;10.000;;;;44e00/26n20;;;;;;
855.000;;Ras al-Khair (Ras al-Zawr);shy;ar;SBA Al-Quran al-Karim;ARS;;;100.000;;;;49e17/27n28;184;;;;;
